role1_persona,role2_persona,original_dialogue,single_step_dialogue,generated_dialogue_topic
i drive a honda civic. | i live in ohio. | i work as an accountant. | i am a single mom of two boys.,my favorite band is simple plan. | i have a soft spot for my boss niece. | i currently work in an animal shelter as a kennel cleaner. | i am naturally a crabby person. | i find animals to be better company than humans.,"hey are you still there ? | hello , yes i am here | what did you do today ? | just my usual routine , working , coming home . what about you ? | i went to work at the bank , | i actually help out at my animal shelter today so that is a bonus | i had to pick up my 2 boys from soccer practice | do you like listening to music in your free time ? | usually when i am driving i like to zone out to music | that is not a good thing , i would say | it relaxes me lol | simple plan band is what energize me | i love them where i live they do not play them on the radio in ohio | you are missing out on some great music | i like panic at the disco | they have a very special music taste , but i do enjoy them","role1: hey are you still there ? | role2: hello , yes i am here | role1: what did you do today ? | role2: just my usual routine , working , coming home . what about you ? | role1: i went to work at the bank , | role2: i actually help out at my animal shelter today so that is a bonus | role1: i had to pick up my 2 boys from soccer practice | role2: do you like listening to music in your free time ? | role1: usually when i am driving i like to zone out to music | role2: that is not a good thing , i would say | role1: it relaxes me lol | role2: simple plan band is what energize me | role1: i love them where i live they do not play them on the radio in ohio | role2: you are missing out on some great music | role1: i like panic at the disco | role2: they have a very special music taste , but i do enjoy them","Role 1, an accountant and single mom, and Role 2, a worker at an animal shelter, discuss their day. Role 1 shares about her work at the bank and picking up her two boys from soccer practice. Role 2 talks about his routine and helping out at the animal shelter. The conversation shifts to music, with Role 1 admitting she likes to listen to music while driving. Role 2 shares his love for the band Simple Plan, while Role 1 expresses her fondness for Panic at the Disco, a band not often played on Ohio radio stations."
my favourite drink is iced tea. | i listen to country music. | i am a young adult. | i enjoy coding such as web design.,i have a brothers and a sisters. | i am a stock broker. | my parents live in australia. | my favorite food is eggplant parmigiana. | my dogs name is charlie.,"hello ! are you listening to music this morning ? i love country | no but i am eating eggplant parmigiana ! | you like italian food ? i have to get iced tea anytime i go to a restaurant | i love it the best ! even my dog charlie loves it ! | i had a dog named charlie when i was 10 . that was 10 years ago | cool do you have any brothers or sisters ? i have both . | yes they are younger and still live at home | do you live with your parents as well ? | no since i got my first job coding and designing websites i moved out | i am in the stocks myself . | interesting . can you listen to music at work ? like country ? | no i wish , got to keep my head clear for trades . | oh yes that makes sense . i am glad i can listen to country while i work | do you have any hobbies ? | pretty much just listening to country music . you ? | no i am a all work and no play type .","role1: hello ! are you listening to music this morning ? i love country | role2: no but i am eating eggplant parmigiana ! | role1: you like italian food ? i have to get iced tea anytime i go to a restaurant | role2: i love it the best ! even my dog charlie loves it ! | role1: i had a dog named charlie when i was 10 . that was 10 years ago | role2: cool do you have any brothers or sisters ? i have both . | role1: yes they are younger and still live at home | role2: do you live with your parents as well ? | role1: no since i got my first job coding and designing websites i moved out | role2: i am in the stocks myself . | role1: interesting . can you listen to music at work ? like country ? | role2: no i wish , got to keep my head clear for trades . | role1: oh yes that makes sense . i am glad i can listen to country while i work | role2: do you have any hobbies ? | role1: pretty much just listening to country music . you ? | role2: no i am a all work and no play type .","Role 1, a young adult who enjoys coding and country music, and Role 2, a stock broker with siblings and a dog named Charlie, discuss their preferences. Role 1 loves drinking iced tea at restaurants while Role 2 is fond of eggplant parmigiana. They also talk about their work; Role 1 codes websites and listens to country music during work hours while Role 2 needs to maintain focus on trading stocks. When asked about hobbies, Role 1 mentions listening to country music whereas Role 2 identifies as an all-work-no-play type."
i just graduated from college. | my favorite hobby is playing board games. | i have a pet cat named arizona. | my brother just got married.,i have one brother. | i am a bodybuilder. | my mom is a secretary. | i am a doctor.,"hello there , what is up ? | not too much . i just got done working out at the gym . | oh neat ! how motivating . i just got back from a wedding | that is fun ! whose wedding did you go to ? | it was my brother ! crazy . so what hobbies do you enjoy | not much . i work at a hospital so i do not have much time . | oh that sounds busy ! i just graduated and do not have a job yet | what did you graduate for ? | i got a degree in accounting . do you have pets ? | oh nice ! my mother works as a secretary . and , no . | shame . my kitty arizona is awesome . so what are your plans for later | i do not have plans yet . what about you ? | i will probably play a board game . perhaps monopoly . | the game risk is my personal favorite","role1: hello there , what is up ? | role2: not too much . i just got done working out at the gym . | role1: oh neat ! how motivating . i just got back from a wedding | role2: that is fun ! whose wedding did you go to ? | role1: it was my brother ! crazy . so what hobbies do you enjoy | role2: not much . i work at a hospital so i do not have much time . | role1: oh that sounds busy ! i just graduated and do not have a job yet | role2: what did you graduate for ? | role1: i got a degree in accounting . do you have pets ? | role2: oh nice ! my mother works as a secretary . and , no . | role1: shame . my kitty arizona is awesome . so what are your plans for later | role2: i do not have plans yet . what about you ? | role1: i will probably play a board game . perhaps monopoly . | role2: the game risk is my personal favorite","Role 1, a recent college graduate with a degree in accounting, and Role 2, a busy doctor, engage in a casual conversation. Role 1 shares that they just attended their brother's wedding and enjoys playing board games, specifically Monopoly, in their free time. They also mention their pet cat, Arizona. Role 2, who just finished a workout at the gym, shares that they don't have much time for hobbies due to their job at a hospital. They also mention that their mother works as a secretary and they don't have any pets. The conversation ends with them discussing their plans for later."
i work in a program that mentors troubled teens. | i love italian food. | i like to sing in choir. | i enjoy playing softball. | i have know taekwondo since i was a kid.,i also like to sing. | i am single. | i do not want kids. | i live in new york and work as a model.,"hey there . how are you ? | wonderful . just finished work . how are you ? | doing good ! what do you do for work ? | right now i am modeling . it is why i moved to this city . what do you do ? | that sounds exciting ! i work mentoring troubled teens . | that is why i do not ever want kids . where are you from ? | i do not have any of my own either . i am in north carolina . you ? | new york . a great place to be single ! married yourself ? | never been married . i am originally from new york actually | came here to be a singer . why did you leave ? | most of my family moved down here and i eventually followed them . singing is awesome ! | it is fun . but modeling pays more ! you have hobbies ? | yes , i play softball and practice taekwondo . what are some of yours ? | just the singing right now . taekwondo sounds fun ! | it is ! i have been practicing since i was very young . helps develop discipline | it sounds like you need focus for that","role1: hey there . how are you ? | role2: wonderful . just finished work . how are you ? | role1: doing good ! what do you do for work ? | role2: right now i am modeling . it is why i moved to this city . what do you do ? | role1: that sounds exciting ! i work mentoring troubled teens . | role2: that is why i do not ever want kids . where are you from ? | role1: i do not have any of my own either . i am in north carolina . you ? | role2: new york . a great place to be single ! married yourself ? | role1: never been married . i am originally from new york actually | role2: came here to be a singer . why did you leave ? | role1: most of my family moved down here and i eventually followed them . singing is awesome ! | role2: it is fun . but modeling pays more ! you have hobbies ? | role1: yes , i play softball and practice taekwondo . what are some of yours ? | role2: just the singing right now . taekwondo sounds fun ! | role1: it is ! i have been practicing since i was very young . helps develop discipline | role2: it sounds like you need focus for that","Role 1 and Role 2 engage in a friendly conversation about their lives and interests. Role 1 reveals they work in a program mentoring troubled teens and enjoy playing softball and practicing taekwondo. Role 2, a model living in New York, expresses a lack of desire for children and a passion for singing. Both roles are single and do not have children. Role 1 moved to North Carolina from New York to follow their family, while Role 2 moved to New York for their modeling career. They both appreciate the discipline required for their respective hobbies."
i have three dogs. | i love watching football on sundays. | my favorite holiday is christmas. | my favorite food is cheese pizza. | i am a hair stylist.,i am a single mom of two boys. | i like to go hiking in my spare time. | i live in ohio. | i drive a honda civic. | i work as an accountant.,"hey hows your day going sir | hehe , i am actually a miss . it is going well , what about yourself ? | oops sorry miss haha . i am doing good . feeding my 3 dogs | what are their names ? i do not have any pets , my two boys are enough ! | haha kids . . am i right ? | oh you are . luckily my job is mostly paperwork . . . what do you do for a living ? | oh that sounds nice . i work at a salon . . hairstylist . | maybe you could do my hair sometime ! | haha sure . except on sundays . that is when i watch football | that is okay , i spend my weekends hiking , usually . | oh that sounds fun . i am about to order pizza . want some ? | i would love some ! but make it two . . . for each boy ! | haha i order 3 large cheese pizzas for me and my doggies | i may only be an accountant but . . . pretty sure dogs should not eat pizza | well . . . i guess you will not be having any pizza | since when am i a dog ? that is quite rude !","role1: hey hows your day going sir | role2: hehe , i am actually a miss . it is going well , what about yourself ? | role1: oops sorry miss haha . i am doing good . feeding my 3 dogs | role2: what are their names ? i do not have any pets , my two boys are enough ! | role1: haha kids . . am i right ? | role2: oh you are . luckily my job is mostly paperwork . . . what do you do for a living ? | role1: oh that sounds nice . i work at a salon . . hairstylist . | role2: maybe you could do my hair sometime ! | role1: haha sure . except on sundays . that is when i watch football | role2: that is okay , i spend my weekends hiking , usually . | role1: oh that sounds fun . i am about to order pizza . want some ? | role2: i would love some ! but make it two . . . for each boy ! | role1: haha i order 3 large cheese pizzas for me and my doggies | role2: i may only be an accountant but . . . pretty sure dogs should not eat pizza | role1: well . . . i guess you will not be having any pizza | role2: since when am i a dog ? that is quite rude !","Role 1, a hair stylist who loves dogs and football, and Role 2, a single mom of two boys who enjoys hiking and works as an accountant, have a friendly conversation. They discuss their day, their pets, and their jobs. Role 1 offers to do Role 2's hair sometime, except on Sundays when he watches football. Role 1 is about to order pizza and offers some to Role 2, who accepts but asks for two pizzas for her boys. Role 1 jokes about ordering three large cheese pizzas for himself and his dogs, but Role 2 advises against feeding dogs pizza."
i am a science fiction author. | i graduated from mit with a degree in engineering. | i am unmarried and do not have any children. | i am afraid of spiders and snakes.,i work at mcdonald s. | its a dead end job so i am looking for something different. | i was raised by my uncle and aunt. | my parents did not want me. | i am considering going to college.,"good morning , how are you ? | i am fine . i am on a break at work . | what do you do for work ? | i sell hamburgers and fries . | do you work full time ? are you also a student ? | i am full time . i am thinking about finishing school . | getting a degree is a good idea . | i thought it would help me get a better job . | do you know what you want to go to school for or do after ? | i am thinking about being a nurse . my aunt works in a hospital , and likes it . | that is interesting . i went to school for engineering but do not work in it . | what do you do now ? | i write science fiction stories . | that is cool . engineer degrees are nice to have , since you could still do that .","role1: good morning , how are you ? | role2: i am fine . i am on a break at work . | role1: what do you do for work ? | role2: i sell hamburgers and fries . | role1: do you work full time ? are you also a student ? | role2: i am full time . i am thinking about finishing school . | role1: getting a degree is a good idea . | role2: i thought it would help me get a better job . | role1: do you know what you want to go to school for or do after ? | role2: i am thinking about being a nurse . my aunt works in a hospital , and likes it . | role1: that is interesting . i went to school for engineering but do not work in it . | role2: what do you do now ? | role1: i write science fiction stories . | role2: that is cool . engineer degrees are nice to have , since you could still do that .","Role 1, a science fiction author with an engineering degree from MIT, and Role 2, a full-time McDonald's employee considering returning to school, discuss their jobs and future plans. Role 2 expresses interest in becoming a nurse while acknowledging the benefits of having an engineering degree like Role 1. Despite his education, Role 1 reveals he does not work in the field of engineering but instead writes science fiction stories. Both characters contemplate the value of education and career flexibility."
i love animals and have two dogs. | i am native american and live in oklahoma. | i work as an attorney. | i am afraid of heights.,i live in low income apartments. | i am an avid runner. | i work in fast food. | i do not like animals.,"hello . how are you doing ? | okay i suppose . just got in from work at a fast food joint | i am an attorney . i am always busy | bet that is a nice income | it is but it gets crazy . my two dogs keep me sane . | i am not an animal fan myself . low income apartments do not allow them anyway | understandable . where do you live ? | i live in the us . you ? | same . i live in oklahoma and i am native american | oh wow that is cool . you like to run ? that is what keeps me sane | i do not have much time for that . do you have any fears ? | depends . being an avid runner , i would say you should make some time for it ; | my job is more important . i would rather make money . i am afraid of heights | i can see why . heights can be a little terrifying sometimes | more like all of the time ! i will faint | some times the view is glorious though !","role1: hello . how are you doing ? | role2: okay i suppose . just got in from work at a fast food joint | role1: i am an attorney . i am always busy | role2: bet that is a nice income | role1: it is but it gets crazy . my two dogs keep me sane . | role2: i am not an animal fan myself . low income apartments do not allow them anyway | role1: understandable . where do you live ? | role2: i live in the us . you ? | role1: same . i live in oklahoma and i am native american | role2: oh wow that is cool . you like to run ? that is what keeps me sane | role1: i do not have much time for that . do you have any fears ? | role2: depends . being an avid runner , i would say you should make some time for it ; | role1: my job is more important . i would rather make money . i am afraid of heights | role2: i can see why . heights can be a little terrifying sometimes | role1: more like all of the time ! i will faint | role2: some times the view is glorious though !","Role 1, an attorney who loves animals and lives in Oklahoma, and Role 2, a fast food worker who enjoys running and lives in a low-income apartment, discuss their jobs, hobbies, and fears. Role 1 mentions that his two dogs help him cope with his busy work schedule, while Role 2 states that running keeps him sane. Role 1 reveals his fear of heights, to which Role 2 acknowledges that heights can be terrifying but sometimes offer a glorious view."
i enjoy exercising for long hours. | i spend my free time reading plays. | i also write diet cookbooks. | i own my own very successful dieting business. | i have two cats and a dog.,i like to sing folk songs. | i adopted a stray cat recently. | i like making my own clothing. | i am worried about the environment. | my mother was an army nurse.,"hi there , how are you doing today ? | hey there ! i am freaking out about nature and the environment ! | i go running for a hours a day so global warming is a concern too | nice ! i also make my own clothes , it helps as well . | do you diet ? i ask because dieting is part of my livelihood . | well i did just adopt a cat from the street . . . i could eat it for my diet | lol , i have a couple cats and a pup myself , but i meant diet | i do not have a problem with eating animals | do you ever read cookbooks for dieting ? i wrote one myself . | no , but i do sing folk songs . i could sing one about dieting for you ? | that might help my books sales ! do you read for fun ? | yes ! my mom was an army nurse so i read a lot of military history | i tend more towards plays and sometimes screenplays | ooh what kind ? any specific genre ? | in screenplays i like reading horror . love to see difference versus movie | does it feel more realistic ? i find plays to be tacky sometimes","role1: hi there , how are you doing today ? | role2: hey there ! i am freaking out about nature and the environment ! | role1: i go running for a hours a day so global warming is a concern too | role2: nice ! i also make my own clothes , it helps as well . | role1: do you diet ? i ask because dieting is part of my livelihood . | role2: well i did just adopt a cat from the street . . . i could eat it for my diet | role1: lol , i have a couple cats and a pup myself , but i meant diet | role2: i do not have a problem with eating animals | role1: do you ever read cookbooks for dieting ? i wrote one myself . | role2: no , but i do sing folk songs . i could sing one about dieting for you ? | role1: that might help my books sales ! do you read for fun ? | role2: yes ! my mom was an army nurse so i read a lot of military history | role1: i tend more towards plays and sometimes screenplays | role2: ooh what kind ? any specific genre ? | role1: in screenplays i like reading horror . love to see difference versus movie | role2: does it feel more realistic ? i find plays to be tacky sometimes","Role 1, a fitness enthusiast and diet cookbook author, and Role 2, a folk singer and environmentalist, discuss their hobbies and concerns. Role 1 shares their concern about global warming due to their outdoor exercise routine, while Role 2 talks about their efforts to help the environment by making their own clothes. Role 1 asks Role 2 about their diet, leading to a humorous exchange about Role 2's recently adopted cat. Role 1 also asks if Role 2 reads diet cookbooks, and Role 2 offers to sing a folk song about dieting. They also discuss their reading preferences, with Role 1 favoring plays and horror screenplays, and Role 2 enjoying military history."
i work in a program that mentors troubled teens. | i enjoy playing softball. | i like to sing in choir. | i love italian food. | i have know taekwondo since i was a kid.,i am a huge fantasy fan. | i am of. | i want to write fantasy books myself. | i have two part time jobs. | i like to binge watch the lord of the rings.,what are you up to today ? | i am so tired ! i have to work a double ! | ah gosh . . that is the worst ! | i want to just stay home and write . | i would rather play softball than go to work | i like to role play and play fantasy games . have you been to com icon ? | what is that ? no i have never been | have you ever heard of the lord of the rings ? | yes ! it is my favorite movie of all time . the music is amazing | it is a huge festival that last for days | i really need to look into that . i think some of my clients would be interested too | they dress up like superheroes and the lord of the rings character is there too | do you have any other hobbies ? | i love to draw . how about you ?,role1: what are you up to today ? | role2: i am so tired ! i have to work a double ! | role1: ah gosh . . that is the worst ! | role2: i want to just stay home and write . | role1: i would rather play softball than go to work | role2: i like to role play and play fantasy games . have you been to com icon ? | role1: what is that ? no i have never been | role2: have you ever heard of the lord of the rings ? | role1: yes ! it is my favorite movie of all time . the music is amazing | role2: it is a huge festival that last for days | role1: i really need to look into that . i think some of my clients would be interested too | role2: they dress up like superheroes and the lord of the rings character is there too | role1: do you have any other hobbies ? | role2: i love to draw . how about you ?,"Role 1 and Role 2 discuss their plans for the day, with Role 2 expressing exhaustion from working two jobs and a desire to stay home and write. Role 1 suggests they would rather play softball than work. They then discuss their hobbies, with Role 2 mentioning role-playing fantasy games and asking if Role 1 has ever attended Comicon or heard of Lord of the Rings. Upon learning that Comicon is a multi-day festival where attendees dress up as characters from fantasy series like Lord of the Rings, Role 1 expresses interest in attending. The conversation ends with both sharing other hobbies, including drawing for Role 2."
i have three cats and two dogs. | my favorite singer is barry manila. | i live near some mountains. | i am an animal lover.,i am a huge fantasy fan. | i want to write fantasy books myself. | i am of. | i have two part time jobs. | i like to binge watch the lord of the rings.,"hi how are you doing ? | i am great . i am watching lord of the rings . | i live in the mountains that look like the ones in the films | awesome . i like movies , especially fantasy . | me too , my favourites are ones on animals . do you have pets ? | i have a goat named galadriel . | i have got 2 dogs and 3 cats . one is named after barry manilow | i love animals but have no others . | what kind of music do you like ? | fantasy movie scores are great . | nice . i prefer scifi scores . | those are also very good usually . | yeah , i am excited about the star wars trailer coming tonight . should be great | not a fan of star wars . | i admit its a little cheesy and i generally prefer star trek , but the music is legend | i absolutely love star trek . much better than wars .","role1: hi how are you doing ? | role2: i am great . i am watching lord of the rings . | role1: i live in the mountains that look like the ones in the films | role2: awesome . i like movies , especially fantasy . | role1: me too , my favourites are ones on animals . do you have pets ? | role2: i have a goat named galadriel . | role1: i have got 2 dogs and 3 cats . one is named after barry manilow | role2: i love animals but have no others . | role1: what kind of music do you like ? | role2: fantasy movie scores are great . | role1: nice . i prefer scifi scores . | role2: those are also very good usually . | role1: yeah , i am excited about the star wars trailer coming tonight . should be great | role2: not a fan of star wars . | role1: i admit its a little cheesy and i generally prefer star trek , but the music is legend | role2: i absolutely love star trek . much better than wars .","Role 1 and Role 2 engage in a friendly conversation about their interests. Role 1, an animal lover living near mountains, shares their love for movies about animals and their pets, including two dogs and three cats. Role 2, a fantasy fan who aspires to write fantasy books, reveals their interest in the Lord of the Rings and their pet goat named Galadriel. They also discuss their music preferences, with Role 1 favoring sci-fi scores and Role 2 enjoying fantasy movie scores. The conversation ends with a discussion about Star Wars and Star Trek, with both agreeing that Star Trek is superior."
i want to write fantasy books myself. | i like to binge watch the lord of the rings. | i am of. | i have two part time jobs. | i am a huge fantasy fan.,its a dead end job so i am looking for something different. | i was raised by my uncle and aunt. | i work at mcdonald s. | my parents did not want me.,"hello , how are you tonight ? | hey ! bored waiting to go to my boring job . how are you ? | hello , i am okay . watching the lord of the rings . | you like that movie ? that sounds way better than going to mcdonalds for 8 hours . | i do , it is my favorite . i feel you , i have two part time jobs . | yeah doing what ? hard to live on your on with no support from parents . | i work retail and i also wait tables . | i bet that keeps you busy . i am trying to find a new job but its tough . | it is , i am trying as well . | would be easier if i had more support from family . | do they live close to you ? | my aunt and uncle but my parents do not want anything to do with me . | i know the feeling , my mother and i do not get along either . | yeah it is tough they disowned me at age 12 and now i am 20 | i am so sorry to hear that . | so do you have any hobbies ?","role1: hello , how are you tonight ? | role2: hey ! bored waiting to go to my boring job . how are you ? | role1: hello , i am okay . watching the lord of the rings . | role2: you like that movie ? that sounds way better than going to mcdonalds for 8 hours . | role1: i do , it is my favorite . i feel you , i have two part time jobs . | role2: yeah doing what ? hard to live on your on with no support from parents . | role1: i work retail and i also wait tables . | role2: i bet that keeps you busy . i am trying to find a new job but its tough . | role1: it is , i am trying as well . | role2: would be easier if i had more support from family . | role1: do they live close to you ? | role2: my aunt and uncle but my parents do not want anything to do with me . | role1: i know the feeling , my mother and i do not get along either . | role2: yeah it is tough they disowned me at age 12 and now i am 20 | role1: i am so sorry to hear that . | role2: so do you have any hobbies ?","Role 1 and Role 2 discuss their personal lives and jobs. Role 1 is watching Lord of the Rings and works two part-time jobs in retail and as a waiter. Role 2 is unhappy with their job at McDonald's and is looking for a new one. They both agree that it's tough to find a new job. Role 2 shares that they were disowned by their parents at age 12 and have been raised by their aunt and uncle. Role 1 sympathizes, revealing that they also have a strained relationship with their mother. The conversation ends with Role 2 asking Role 1 about their hobbies."
my best friend took my boyfriend in high school. | i was arrested for stealing. | i want to be a fashion designer. | my parents were always gone when i was growing up. | i want children badly but not right time in my life.,my favorite food is eggplant parmigiana. | i have a brothers and a sisters. | my parents live in australia. | my dogs name is charlie. | i am a stock broker.,"hello , how are you tonight ? do you have pets or children ? | hi there . i do not any children but i do have a dog named charlie . | aw . that is so cute . i am designing a snoopy tee tonight . | neat ! where are you from ? i am from australia . my parents still live there . | i am in the united states . i always wanted to go to australia . | you should ! i moved to the states to become a stock broker but i miss it . | i am thinking about becoming a fashion designer . | one of my sisters is in fashion . i have a brother too but he is a doctor . | my brother is an laywer , my sister is in finance . then , there is me . | are you close to your siblings ? | no , they are both older than i , and busy with their own lives . | my sister and i go out for italian food all the time . i love eggplant parmigiana . | that sounds disgusting . i like tacos . | ha ha ! i love tacos , too . i love mexican food as much as italian . | i love fish tacos with cilantro lime slaw . | hold the cilantro ! it tastes like soap . but i do like fish tacos too .","role1: hello , how are you tonight ? do you have pets or children ? | role2: hi there . i do not any children but i do have a dog named charlie . | role1: aw . that is so cute . i am designing a snoopy tee tonight . | role2: neat ! where are you from ? i am from australia . my parents still live there . | role1: i am in the united states . i always wanted to go to australia . | role2: you should ! i moved to the states to become a stock broker but i miss it . | role1: i am thinking about becoming a fashion designer . | role2: one of my sisters is in fashion . i have a brother too but he is a doctor . | role1: my brother is an laywer , my sister is in finance . then , there is me . | role2: are you close to your siblings ? | role1: no , they are both older than i , and busy with their own lives . | role2: my sister and i go out for italian food all the time . i love eggplant parmigiana . | role1: that sounds disgusting . i like tacos . | role2: ha ha ! i love tacos , too . i love mexican food as much as italian . | role1: i love fish tacos with cilantro lime slaw . | role2: hold the cilantro ! it tastes like soap . but i do like fish tacos too .","Role 1 and Role 2 engage in a friendly conversation about their lives. Role 1 expresses interest in becoming a fashion designer and asks Role 2 about their family and origin. Role 2 reveals they're from Australia, have a dog named Charlie, and work as a stock broker in the United States. They also share that one of their siblings is in the fashion industry. The two discuss their favorite foods, with Role 2 expressing a love for Italian food and tacos, while Role 1 prefers fish tacos with cilantro lime slaw."
i go to middle school. | i want to be an actor when i grow up. | i am a 14 year old trans boy. | i love pink floyd. | i love dogs but hate cats.,i was born with a tail which was removed. | i worked at hollister in high school. | i am a professional skater. | i do not like chips.,"hey . tg 14 year old here . | how are you doing tonight , i am missing my tail it was removed | that happened to my cat . my dog found it and ate it . | oh no do you like hollister i worked there back in high school ? | yes its my fav . i stopped by there after school today to look for clothes . | yeah very cool , i quit to become a skater , i get paid to skate | i want to be an actor . is ice skating hard ? lol | not to me but other people say yes , what kind of actor ? | i would love to be on that show trans parent . you know ? because i am transgender | i would watch that show i am open to everything | its difficult being so young and all , i zone out and listen to pink floyd | hopefully you have a loving family to help , what do you do for fun ? | i eat doritos , ruffles , lays , and pringles | oh i do not like those at all i avoid chips | who does not like chips ? is it the crunch ? | yes it is , i do not care for the calories and the crunch","role1: hey . tg 14 year old here . | role2: how are you doing tonight , i am missing my tail it was removed | role1: that happened to my cat . my dog found it and ate it . | role2: oh no do you like hollister i worked there back in high school ? | role1: yes its my fav . i stopped by there after school today to look for clothes . | role2: yeah very cool , i quit to become a skater , i get paid to skate | role1: i want to be an actor . is ice skating hard ? lol | role2: not to me but other people say yes , what kind of actor ? | role1: i would love to be on that show trans parent . you know ? because i am transgender | role2: i would watch that show i am open to everything | role1: its difficult being so young and all , i zone out and listen to pink floyd | role2: hopefully you have a loving family to help , what do you do for fun ? | role1: i eat doritos , ruffles , lays , and pringles | role2: oh i do not like those at all i avoid chips | role1: who does not like chips ? is it the crunch ? | role2: yes it is , i do not care for the calories and the crunch","Role 1, a 14-year-old trans boy who aspires to be an actor, and Role 2, a professional skater who once worked at Hollister and was born with a tail, engage in a conversation. They discuss their personal experiences and future aspirations. Role 1 mentions his love for the store Hollister and chips, while Role 2 shares his dislike for chips due to their crunchiness. They also discuss the show 'Trans Parent', which Role 1 identifies with due to his transgender identity. The dialogue ends with them discussing their personal preferences and experiences."
i am a batista. | my family lives in arkansas. | i live with my two brothers in an apartment in chicago. | i have a lot of tattoos. | i like to play the guitar.,i am an administrative assistant. | i love trying barbeque restaurants. | i am looking forward to retiring in five years. | i like ot play racquetball. | i enjoy oldies music.,"i have the world record for the most tattoos | that is awesome ! i am retiring in five years . | you should get a tattoo to celebrate ! ! | i have them , my favorite is of a barbecue pit . | oh i like that . my favorite is the one in my right nostril . | i play racquetball , maybe i should get one of that . | that would look awesome on your shoulder ! my roommate in chicago has one there . | i have an oldies jukebox on my back ! | i play my tattoo guitar on my abdomen . totally beats the air guitar . | that it does . i am an admin assistant . | do they know about your tattoos ? that could get interesting | no they are all in places that can be covered up . | very smart . people are scared of mine | they should not be , but i can understand that .","role1: i have the world record for the most tattoos | role2: that is awesome ! i am retiring in five years . | role1: you should get a tattoo to celebrate ! ! | role2: i have them , my favorite is of a barbecue pit . | role1: oh i like that . my favorite is the one in my right nostril . | role2: i play racquetball , maybe i should get one of that . | role1: that would look awesome on your shoulder ! my roommate in chicago has one there . | role2: i have an oldies jukebox on my back ! | role1: i play my tattoo guitar on my abdomen . totally beats the air guitar . | role2: that it does . i am an admin assistant . | role1: do they know about your tattoos ? that could get interesting | role2: no they are all in places that can be covered up . | role1: very smart . people are scared of mine | role2: they should not be , but i can understand that .","Role 1, a barista with many tattoos, and Role 2, an administrative assistant who enjoys barbecue and racquetball, discuss their tattoos. Role 1 suggests that Role 2 get a tattoo to celebrate her upcoming retirement. They share their favorite tattoos: Role 1's is in his nostril while Role 2's is of a barbecue pit. They also discuss potential new tattoos related to their interests. Role 1 plays the guitar and has a tattoo of one on his abdomen while Role 2 considers getting a racquetball tattoo. The conversation ends with them discussing how people react to their tattoos."
i have just completed my education as registered nurse. | i cannot wait to get my first full time job as a nurse. | i love shopping for clothes. | i am single.,i go to middle school. | i want to be an actor when i grow up. | i am a 14 year old trans boy. | i love dogs but hate cats. | i love pink floyd.,"hi , merna jean here , single and i love buying clothes . you ? | i am a middle schooler who absolutely loves pink floyd ! | get out ! me too ! i am an rn who loves rock . | that is sick ! i want to act when i am an adult | great ! why wait though ? you think being an rn is sick ? | sick as in cool ! i am too shy to start now . i just came out as trans | hmmm . i see . i just wish i can my first rn job . good luck . | good luck to you too ! do you like animals ? | no not me ! i do like clothes though . | i am not a fan of cats but i love dogs . | hmmm . i see . i do not like dogs or cats . you sing ? | i do sing , just not well ! lol | okay . you single ? you dance ? | i have a boyfriend . but i am not very good at dancing .","role1: hi , merna jean here , single and i love buying clothes . you ? | role2: i am a middle schooler who absolutely loves pink floyd ! | role1: get out ! me too ! i am an rn who loves rock . | role2: that is sick ! i want to act when i am an adult | role1: great ! why wait though ? you think being an rn is sick ? | role2: sick as in cool ! i am too shy to start now . i just came out as trans | role1: hmmm . i see . i just wish i can my first rn job . good luck . | role2: good luck to you too ! do you like animals ? | role1: no not me ! i do like clothes though . | role2: i am not a fan of cats but i love dogs . | role1: hmmm . i see . i do not like dogs or cats . you sing ? | role2: i do sing , just not well ! lol | role1: okay . you single ? you dance ? | role2: i have a boyfriend . but i am not very good at dancing .","Role 1, a newly registered nurse who loves shopping for clothes, and Role 2, a 14-year-old trans boy who loves Pink Floyd and dogs, discuss their interests and future aspirations. Role 2 shares his dream of becoming an actor, while Role 1 expresses her eagerness to start her first job as a nurse. They also discuss their likes and dislikes, with Role 1 not being a fan of animals and Role 2 disliking cats. Role 2 also reveals he has a boyfriend and isn't good at dancing."
